id,active_time,journey_no,flight_code
2311313,1.53029260193e+12,ZH4536,CSZ4536
2295479,1.53029400489e+12,3U8842,CSC8842
2308914,1.53029848105e+12,HU7347,CHH7347
2311162,1.5303753625e+12,CA4278,CCA4278
2313358,1.5303761917e+12,EU2260,UEA2260
2313011,1.53037712036e+12,,
2313594,1.53037736861e+12,CA4182,CCA4182
2313527,1.53037830497e+12,HX452,CRK452
2313040,1.53037841136e+12,CA4540,CCA4540
2313626,1.53037993141e+12,8L9620,LKE9620
2314048,1.53038054742e+12,3U8736,3U8736
2275872,1.53038078458e+12,MU5417,CES5417
2312655,1.53038132299e+12,GA886,GIA886
2313538,1.53038343719e+12,EU2258,UEA2258
2313862,1.53038362554e+12,EU2220,UEA2220
2313925,1.53038401498e+12,3U8174,CSC8174
2313006,1.53038503122e+12,3U8372,CSC8372
2313785,1.53041069805e+12,ZH9541,CSZ9541
2314478,1.53041160885e+12,CA4418,CA4418
2313401,1.53041333772e+12,CA1405,CA1405
2313726,1.53041490638e+12,CZ6673,CSN6673
2283342,1.53041510232e+12,ZH9401,CSZ9401
2314207,1.53041599791e+12,MU2905,CES2905
2312621,1.53041668523e+12,NS8423,
2314766,1.53041789653e+12,3U8694,CSC8694
2314378,1.53042083188e+12,CA4194,CA4194
2314925,1.53042235014e+12,3U8738,3U8738
2308033,1.53042249403e+12,TV9806,TBA9806
2314201,1.53042296011e+12,CA4592,CA4592
2309352,1.5304238606e+12,3U8932,CSC8932
2311228,1.53042560375e+12,CA4512,CCA4512
2311102,1.53042772526e+12,CA4272,CCA4272
2308643,1.53043045663e+12,CA4516,CA4516
2301014,1.53043413394e+12,MU5419,CES5419
2315467,1.53043440983e+12,CZ3359,CSN3359
2314380,1.53043442784e+12,CA1963,CCA1963
2313651,1.53043517467e+12,TV9926,TBA9926
2311804,1.5304371101e+12,MU5496,CES5496
2315011,1.53043790937e+12,HU7831,CHH7831
2306997,1.53044301872e+12,MU9745,CES9745
2303768,1.53044342603e+12,CA4506,CA4506
2316084,1.53044821463e+12,3U1612,
2311037,1.53044843956e+12,CA4302,CA4302
2314203,1.5304486024e+12,MU5654,CES5654
2315137,1.53044950373e+12,CZ3241,CSN3241
2311702,1.53045087566e+12,CZ3441,CSN3441
2311214,1.53045303794e+12,MU2413,CES2413
2315755,1.53045232748e+12,CA4334,CA4334
2315826,1.53045308012e+12,TV9830,TBA9830
2316375,1.53045324177e+12,SC4713,CDG4713
2316371,1.53045382445e+12,CZ6471,CSN6471
2315631,1.53045551414e+12,MU5411,CES5411
2313434,1.53045649012e+12,MU2237,CES2237
2309518,1.53045690409e+12,CA4384,CCA4384
2315762,1.53045727921e+12,MU5413,CES5413
2315809,1.53045739679e+12,CA4384,CCA4384
2315460,1.53045918425e+12,3U8912,CSC8912
2312230,1.530457711e+12,CA4384,CCA4384
2315683,1.53045868332e+12,3U8334,CSC8334
2301569,1.53045885124e+12,3U8752,CSC8752
2316284,1.53045894481e+12,MU5855,CES5855
2307439,1.53045902e+12,3U8334,CSC8334
2316138,1.53045965033e+12,CA4502,CA4502
2316602,1.53046009481e+12,EU2272,UEA2272
2316242,1.53046043168e+12,CA4372,CA4372
2315748,1.53046061595e+12,8L9626,LKE9626
2316186,1.53046099135e+12,EU2260,UEA2260
2315280,1.53046124638e+12,TV9826,TBA9826
2312774,1.53046143296e+12,TV9826,TBA9826
2315226,1.53046166082e+12,CA4120,CA4120
2316662,1.53046170699e+12,MU2686,CES2686
2316040,1.5304617477e+12,3U8174,CSC8174
2286004,1.53046215034e+12,HX452,CRK452
2316680,1.5304621924e+12,HX452,CRK452
2272534,1.53046237153e+12,ZH9411,CSZ9411
2316322,1.53046237818e+12,3U8970,CSC8970
2316253,1.53046295115e+12,8L9616,LKE9616
2315849,1.53046323704e+12,CA4118,CA4118
2295002,1.5304633985e+12,CA4118,CA4118
2315503,1.53046350841e+12,KY9778,
2316297,1.53046362472e+12,ZH9778,CSZ9778
2316122,1.53046366577e+12,MU5417,CES5417
2315875,1.53046391688e+12,CA4536,CA4536
2314802,1.53046465271e+12,CA4588,CA4588
2316702,1.53046479253e+12,CA4588,CA4588
2316195,1.53046489709e+12,MU2472,CES2472
2314062,1.53046521401e+12,CA4588,CA4588
2300105,1.53046538911e+12,CA4154,CA4154
2316361,1.5304654151e+12,EU2258,UEA2258
2315184,1.5304655468e+12,EU2230,UEA2230
2316732,1.53046573486e+12,MU5496,CES5496
2316478,1.53046574116e+12,CA4328,CA4328
2316611,1.53046614864e+12,CA4154,CA4154
2316245,1.53046631260e+12,MU2194,CES2194
